Phase,Week,Filename,Status,Quality_Score,Lines,Has_Analogy_Start,Code_Blocks,Step_by_Step,Priority,Path
1,1,01_introduction_to_programming.md,GOOD,100,800,YES,42,YES,None,phase_1_dart_fundamentals/week_01_getting_started/
1,1,02_environment_setup.md,NEEDS_WORK,60,450,NO,8,NO,HIGH,phase_1_dart_fundamentals/week_01_getting_started/
1,1,03_variables_and_data_types.md,GOOD,80,520,YES,15,YES,None,phase_1_dart_fundamentals/week_01_getting_started/
1,1,04_week1_project.md,GOOD,80,480,YES,12,YES,None,phase_1_dart_fundamentals/week_01_getting_started/
1,2,01_strings_deep_dive.md,NEEDS_WORK,60,380,NO,18,NO,HIGH,phase_1_dart_fundamentals/week_02_working_with_data/
1,3,01_conditional_statements.md,NEEDS_WORK,60,420,NO,25,NO,HIGH,phase_1_dart_fundamentals/week_03_controlling_the_flow/
1,3,02_loops.md,GOOD,100,550,YES,32,YES,None,phase_1_dart_fundamentals/week_03_controlling_the_flow/
1,4,01_functions.md,NEEDS_WORK,60,400,NO,20,NO,HIGH,phase_1_dart_fundamentals/week_04_functions_and_collections/
1,4,02_lists_deep_dive.md,GOOD,80,600,YES,35,YES,None,phase_1_dart_fundamentals/week_04_functions_and_collections/
1,4,03_maps_and_sets.md,GOOD,80,480,YES,28,YES,None,phase_1_dart_fundamentals/week_04_functions_and_collections/
2,5,01_classes_and_objects.md,GOOD,80,680,YES,38,YES,None,phase_2_dart_intermediate_flutter_basics/week_05_oop_foundations/
2,5,02_encapsulation.md,GOOD,80,620,YES,32,YES,None,phase_2_dart_intermediate_flutter_basics/week_05_oop_foundations/
2,6,01_inheritance.md,GOOD,80,700,YES,40,YES,None,phase_2_dart_intermediate_flutter_basics/week_06_oop_advanced/
2,6,02_polymorphism_and_abstraction.md,GOOD,80,650,YES,36,YES,None,phase_2_dart_intermediate_flutter_basics/week_06_oop_advanced/
2,6,03_mixins.md,NEEDS_WORK,60,550,NO,24,NO,HIGH,phase_2_dart_intermediate_flutter_basics/week_06_oop_advanced/
2,7,01_flutter_fundamentals.md,GOOD,80,750,YES,42,YES,None,phase_2_dart_intermediate_flutter_basics/week_07_flutter_intro/
2,7,02_widgets_deep_dive.md,NEEDS_WORK,60,680,NO,38,NO,HIGH,phase_2_dart_intermediate_flutter_basics/week_07_flutter_intro/
2,8,01_stateful_widgets.md,NEEDS_WORK,60,620,NO,32,NO,HIGH,phase_2_dart_intermediate_flutter_basics/week_08_basic_interactivity/
3,9,01_advanced_layouts.md,GOOD,80,780,YES,44,YES,None,phase_3_flutter_ui_mastery/week_09_advanced_ui/
3,9,02_custom_widgets.md,GOOD,80,720,YES,40,YES,None,phase_3_flutter_ui_mastery/week_09_advanced_ui/
3,10,01_theming_basics.md,NEEDS_WORK,60,500,NO,18,NO,HIGH,phase_3_flutter_ui_mastery/week_10_theming/
3,10,02_responsive_design.md,NEEDS_WORK,60,620,NO,22,NO,HIGH,phase_3_flutter_ui_mastery/week_10_theming/
3,11,01_state_management_introduction.md,NEEDS_WORK,60,480,NO,16,NO,HIGH,phase_3_flutter_ui_mastery/week_11_state_management/
3,11,02_riverpod_fundamentals.md,NEEDS_WORK,60,520,NO,20,NO,HIGH,phase_3_flutter_ui_mastery/week_11_state_management/
